id,curso_actual,tema_actual,curso_canonico,tema_canonico,tema_id,cambia
7933,Algebra,Ecuaciones Lineales,Algebra,Ecuaciones Lineales,9,True
7934,Algebra,Ecuaciones Lineales,Algebra,Ecuaciones Lineales,9,True
7935,Algebra,Ecuaciones Lineales,Algebra,Ecuaciones Lineales,9,True
7936,Algebra,Ecuaciones Lineales,Algebra,Ecuaciones Lineales,9,True
7937,Algebra,Ecuaciones Lineales,Algebra,Ecuaciones Lineales,9,True
7938,Algebra,Teoria de Ecuaciones,Algebra,Teoria de Ecuaciones,35,True
7939,Algebra,Ecuaciones Lineales,Algebra,Ecuaciones Lineales,9,True
7940,Algebra,Ecuaciones Lineales,Algebra,Ecuaciones Lineales,9,True
7941,Algebra,Ecuaciones Lineales,Algebra,Ecuaciones Lineales,9,True
7942,Algebra,Ecuaciones Lineales,Algebra,Ecuaciones Lineales,9,True
7943,Algebra,Ecuaciones Lineales,Algebra,Ecuaciones Lineales,9,True
7944,Algebra,Ecuaciones Lineales,Algebra,Ecuaciones Lineales,9,True
7945,Algebra,Ecuaciones Lineales,Algebra,Ecuaciones Lineales,9,True
7946,Algebra,Ecuaciones Lineales,Algebra,Ecuaciones Lineales,9,True
7947,Algebra,Ecuaciones Lineales,Algebra,Ecuaciones Lineales,9,True
7948,Algebra,Ecuaciones Lineales,Algebra,Ecuaciones Lineales,9,True
7949,Algebra,Ecuaciones Lineales,Algebra,Ecuaciones Lineales,9,True
7950,Algebra,Ecuaciones Lineales,Algebra,Ecuaciones Lineales,9,True
7951,Algebra,Teoria de Ecuaciones,Algebra,Teoria de Ecuaciones,35,True
7952,Algebra,Teoria de Ecuaciones,Algebra,Teoria de Ecuaciones,35,True
7953,Algebra,Teoria de Ecuaciones,Algebra,Teoria de Ecuaciones,35,True
7954,Algebra,Teoria de Ecuaciones,Algebra,Teoria de Ecuaciones,35,True
7955,Algebra,Ecuaciones Lineales,Algebra,Ecuaciones Lineales,9,True
7956,Algebra,Ecuaciones Lineales,Algebra,Ecuaciones Lineales,9,True
7957,Algebra,Teoria de Ecuaciones,Algebra,Teoria de Ecuaciones,35,True
7958,Algebra,Ecuaciones Lineales,Algebra,Ecuaciones Lineales,9,True
7959,Algebra,Ecuaciones Lineales,Algebra,Ecuaciones Lineales,9,True
7960,Algebra,Ecuaciones Lineales,Algebra,Ecuaciones Lineales,9,True
7961,Algebra,Ecuaciones Lineales,Algebra,Ecuaciones Lineales,9,True
7962,Algebra,Ecuaciones Lineales,Algebra,Ecuaciones Lineales,9,True
7963,Algebra,Ecuaciones Lineales,Algebra,Ecuaciones Lineales,9,True
7964,Algebra,Ecuaciones Lineales,Algebra,Ecuaciones Lineales,9,True
7965,Algebra,Teoria de Ecuaciones,Algebra,Teoria de Ecuaciones,35,True
7966,Algebra,Ecuaciones Lineales,Algebra,Ecuaciones Lineales,9,True
7967,Algebra,Ecuaciones Cuadraticas,Algebra,Ecuaciones Cuadraticas,7,True
7968,Algebra,Ecuaciones Cuadraticas,Algebra,Ecuaciones Cuadraticas,7,True
7969,Algebra,Ecuaciones Cuadraticas,Algebra,Ecuaciones Cuadraticas,7,True
7970,Algebra,Ecuaciones Cuadraticas,Algebra,Ecuaciones Cuadraticas,7,True
7971,Algebra,Ecuaciones Cuadraticas,Algebra,Ecuaciones Cuadraticas,7,True
7972,Algebra,Ecuaciones Cuadraticas,Algebra,Ecuaciones Cuadraticas,7,True
7973,Algebra,Ecuaciones Cuadraticas,Algebra,Ecuaciones Cuadraticas,7,True
7974,Algebra,Ecuaciones Cuadraticas,Algebra,Ecuaciones Cuadraticas,7,True
7975,Algebra,Ecuaciones Cuadraticas,Algebra,Ecuaciones Cuadraticas,7,True
7976,Algebra,Ecuaciones Cuadraticas,Algebra,Ecuaciones Cuadraticas,7,True
7977,Algebra,Ecuaciones Cuadraticas,Algebra,Ecuaciones Cuadraticas,7,True
7978,Algebra,Ecuaciones Cuadraticas,Algebra,Ecuaciones Cuadraticas,7,True
7979,Algebra,Ecuaciones Cuadraticas,Algebra,Ecuaciones Cuadraticas,7,True
7980,Algebra,Ecuaciones Cuadraticas,Algebra,Ecuaciones Cuadraticas,7,True
7981,Algebra,Ecuaciones Cuadraticas,Algebra,Ecuaciones Cuadraticas,7,True
7982,Algebra,Ecuaciones Cuadraticas,Algebra,Ecuaciones Cuadraticas,7,True
7983,Algebra,Ecuaciones Cuadraticas,Algebra,Ecuaciones Cuadraticas,7,True
7984,Algebra,Ecuaciones Cuadraticas,Algebra,Ecuaciones Cuadraticas,7,True
7985,Algebra,Ecuaciones Cuadraticas,Algebra,Ecuaciones Cuadraticas,7,True
7986,Algebra,Ecuaciones Cuadraticas,Algebra,Ecuaciones Cuadraticas,7,True
7987,Algebra,Ecuaciones Cuadraticas,Algebra,Ecuaciones Cuadraticas,7,True
7988,Algebra,Ecuaciones Cuadraticas,Algebra,Ecuaciones Cuadraticas,7,True
7989,Algebra,Ecuaciones Cuadraticas,Algebra,Ecuaciones Cuadraticas,7,True
