id,curso_actual,tema_actual,motivo
3521,Algebra,Teoria de Exponentes,tema_no_mapeado
3522,Algebra,Teoria de Exponentes,tema_no_mapeado
3523,Algebra,Teoria de Exponentes,tema_no_mapeado
3524,Algebra,Teoria de Exponentes,tema_no_mapeado
3525,Algebra,Teoria de Exponentes,tema_no_mapeado
3526,Algebra,Teoria de Exponentes,tema_no_mapeado
3527,Algebra,Teoria de Exponentes,tema_no_mapeado
3529,Algebra,Teoria de Exponentes,tema_no_mapeado
3530,Algebra,Teoria de Exponentes,tema_no_mapeado
3531,Algebra,Teoria de Exponentes,tema_no_mapeado
3532,Algebra,Teoria de Exponentes,tema_no_mapeado
3533,Algebra,Teoria de Exponentes,tema_no_mapeado
3534,Algebra,Teoria de Exponentes,tema_no_mapeado
3536,Algebra,Teoria de Exponentes,tema_no_mapeado
3540,Algebra,Teoria de Exponentes,tema_no_mapeado
3541,Algebra,Teoria de Exponentes,tema_no_mapeado
3542,Algebra,Teoria de Exponentes,tema_no_mapeado
3544,Algebra,Teoria de Exponentes,tema_no_mapeado
3545,Algebra,Teoria de Exponentes,tema_no_mapeado
3546,Algebra,Teoria de Exponentes,tema_no_mapeado
3547,Algebra,Teoria de Exponentes,tema_no_mapeado
3548,Algebra,Teoria de Exponentes,tema_no_mapeado
3549,Algebra,Teoria de Exponentes,tema_no_mapeado
3550,Algebra,Teoria de Exponentes,tema_no_mapeado
3551,Algebra,Teoria de Exponentes,tema_no_mapeado
3552,Algebra,Teoria de Exponentes,tema_no_mapeado
3553,Algebra,Teoria de Exponentes,tema_no_mapeado
3558,Algebra,Teoria de Exponentes,tema_no_mapeado
3559,Algebra,Teoria de Exponentes,tema_no_mapeado
3941,Razonamiento Matematico,Conteo de Figuras,curso_no_objetivo_o_no_mapeado
3943,Razonamiento Matematico,Planteo de Ecuaciones,curso_no_objetivo_o_no_mapeado
3954,Estadistica,Distribucion de Frecuencias,curso_no_objetivo_o_no_mapeado
3999,Algebra,Teoria de Exponentes,tema_no_mapeado
4000,Algebra,Teoria de Exponentes,tema_no_mapeado
4001,Algebra,Teoria de Exponentes,tema_no_mapeado
4005,Algebra,Teoria de Exponentes,tema_no_mapeado
4008,Algebra,Teoria de Exponentes,tema_no_mapeado
4013,Algebra,Teoria de Exponentes,tema_no_mapeado
4014,Algebra,Teoria de Exponentes,tema_no_mapeado
4015,Algebra,Teoria de Exponentes,tema_no_mapeado
