id,curso,tema,subtema,tema_id,subtema_id
659,Trigonometria,Rosa Nautica,,,
660,Trigonometria,Rosa Nautica,,,
661,Trigonometria,Angulos Verticales y Horizontales,,,
662,Trigonometria,Rosa Nautica,,,
663,Trigonometria,Angulos Verticales y Horizontales,,,
664,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
665,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
666,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
667,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
668,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
669,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
670,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
671,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
672,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
673,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
674,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
675,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
676,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
677,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
678,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
679,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
680,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
681,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
682,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
683,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
684,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
685,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
686,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
687,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
688,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
689,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
690,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
691,Trigonometria,Angulos Verticales y Horizontales,,,
692,Trigonometria,Angulos Verticales y Horizontales,,,
693,Trigonometria,Angulos Verticales y Horizontales,,,
694,Trigonometria,Angulos Verticales y Horizontales,,,
695,Trigonometria,Rosa Nautica,,,
696,Trigonometria,Angulos Verticales y Horizontales,,,
697,Trigonometria,Rosa Nautica,,,
698,Trigonometria,Angulos Verticales y Horizontales,,,
699,Trigonometria,Angulos Verticales y Horizontales,,,
700,Trigonometria,Rosa Nautica,,,
701,Trigonometria,Angulos Verticales y Horizontales,,,
702,Trigonometria,Rosa Nautica,,,
703,Trigonometria,Rosa Nautica,,,
704,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
705,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
706,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
707,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
708,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
709,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
710,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
711,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
712,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
713,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
714,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
715,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
716,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
